número ,tratamento  ,Amostra,Pote,id ,parte_corpo part. Int.,int. segmento ,parte_corpo part. Frag.,frag. segmento ,local_tubo,microplastico,tipo,inteiro ,fragmentado,obs
1,T1,A2 ,P4,Culicidae ,"cabeça, tubo digestivo ",,"tórax, tubo digestivo ","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
2,T1,A2 ,P14,Culicidae ,"cabeça, tórax, tubo digestivo ",,"tórax, tubo digestivo ","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
3,T1,A2,P6,Culicidae ,"cabeça, tórax ",,"tórax, tubo digestivo ","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
4,T1,A1,P13,Culicidae ,"cabeça, tórax, tubo digestivo ",,"tórax, tubo digestivo ","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
5,T2,A1,P15,Culicidae ,,,tubo digestivo ,3,anterior,presente,fragmentado,não,sim,
6,T2,A1,P15,Culicidae ,,,"tórax, tubo digestivo ","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,fragmentado,não,sim,
7,T2,A1,P15,Culicidae ,"cabeça, tórax, tubo digestivo, sifão  ",,"tórax, tubo digestivo ","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
8,T2,A1,P15,Culicidae ,"tórax, tubo digestivo ",,"tórax, tubo digestivo ","1, 2, 3 ",anterior,presente,int_frag,sim,sim,
9,T2,A1,P15,Culicidae ,"cabeça, tórax, tubo digestivo ","3, 5, 8",tubo digestivo ,"1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
10,T2,A1,P15,Culicidae ,"cabeça, tórax, tubo digestivo ","1,2,3,4,5,6,7,8",tubo digestivo ,"1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
11,T1,A1,P12,Culicidae ,"cabeça, tórax, tubo digestivo ","1, 2, 3, 4, 5, 6 ","tórax, tubo digestivo ","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
12,T1,A1,P12,Culicidae ,"tórax, tubo digestivo ","1,2,3,4,5,6,7,8","tórax, tubo digestivo ","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
13,T1,A1,P12,Culicidae ,"cabeça, tórax, tubo digestivo ","1,2,3,4,5,6","tórax, tubo digestivo ","1,6,8",anterior-medio-posterior,presente,int_frag,sim,sim,
14,T1,A1,P12,Culicidae ,"cabeça, tórax, tubo digestivo ","1,2,3,4,5,6,7,8","tórax, tubo digestivo ","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
15,C,A1,P6,Chironomidae,,,,,,ausente,,não,não ,
16,C,A1,P6,Psychodidae,,,,,,ausente,,não,não ,
17,C,A1,P6,Culicidae ,,,,,,ausente,,não,não ,
18,C,A1,P6,Culicidae ,,,,,,ausente,,não,não ,
19,C,A1,P15,Culicidae ,,,,,,ausente,,não,não ,
20,C,A1,P15,Culicidae ,,,,,,ausente,,não,não ,
